# Generated by Tools/threads/flagoff-ledger.py (--base origin/main). One row per pre-existing function that has code the branch added
# outside every flag-on gate. Columns verdict, reason, reviewer are maintained by hand and survive regeneration.
# verdict: shape | restored | deliberate | data | fail-stop | lock | atomic | upstream-fix | flag-on-arm (see docs/threads/FLAG-OFF-LANDING.md L3).
file	function	ungated_lines	auto	verdict	reason	reviewer	note
Source/JavaScriptCore/bytecode/ArrayAllocationProfile.h	IndexingType selectIndexingType()	1	other				
Source/JavaScriptCore/bytecode/ArrayAllocationProfile.h	JSArray* updateLastAllocation(JSArray* lastArray)	1	other				
Source/JavaScriptCore/bytecode/ArrayAllocationProfile.h	unsigned vectorLengthHint()	1	other				
Source/JavaScriptCore/bytecode/ArrayAllocationProfile.h	void initializeIndexingMode(IndexingType recommendedIndexingMode)	1	other				
Source/JavaScriptCore/bytecode/ArrayProfile.cpp	CString ArrayProfile::briefDescriptionWithoutUpdating()	11	relaxed-atomic				
Source/JavaScriptCore/bytecode/ArrayProfile.cpp	void ArrayProfile::computeUpdatedPrediction(CodeBlock* codeBlock)	6	relaxed-atomic				
Source/JavaScriptCore/bytecode/ArrayProfile.cpp	void ArrayProfile::computeUpdatedPrediction(CodeBlock* codeBlock, Structure* lastSeenStructure)	10	relaxed-atomic,main-form-helper				
Source/JavaScriptCore/bytecode/ArrayProfile.cpp	void ArrayProfile::observeIndexedRead(JSCell* cell, unsigned index)	3	other				
Source/JavaScriptCore/bytecode/ArrayProfile.h	void clear()	6	relaxed-atomic				
Source/JavaScriptCore/bytecode/ArrayProfile.h	void update(ArrayProfile& arrayProfile)	11	relaxed-atomic,main-form-helper				
Source/JavaScriptCore/bytecode/BytecodeGeneratorification.cpp	BytecodeGeneratorification(BytecodeGenerator& bytecodeGenerator, UnlinkedCodeBlockGenerator* codeBlock, JSInstructionStreamWriter& instructions, SymbolTable* ge	3	other				
Source/JavaScriptCore/bytecode/BytecodeGeneratorification.cpp	void BytecodeGeneratorification::run()	6	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/bytecode/BytecodeIntrinsicRegistry.cpp	BytecodeIntrinsicRegistry::BytecodeIntrinsicRegistry(VM& vm) : m_vm(vm) , m_bytecodeIntrinsicMap()	1	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/bytecode/CallLinkInfo.cpp	CCallHelpers::JumpList DirectCallLinkInfo::emitDirectFastPath(CCallHelpers& jit)	1	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/bytecode/CallLinkInfo.cpp	CCallHelpers::JumpList DirectCallLinkInfo::emitDirectTailCallFastPath(CCallHelpers& jit, ScopedLambda<void()>&& prepareForTailCall)	1	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/bytecode/CallLinkInfo.cpp	CallLinkInfo::~CallLinkInfo()	2	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/bytecode/CallLinkInfo.cpp	DataOnlyCallLinkInfo& LazyCallLinkInfo::ensureSlow(VM& vm, CodeBlock* owner, CallLinkInfo::CallType callType, CodeOrigin codeOrigin)	3	relaxed-atomic,gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/bytecode/CallLinkInfo.cpp	bool LazyCallLinkInfo::hasNeverExecuted(VM& vm) const	1	relaxed-atomic				
Source/JavaScriptCore/bytecode/CallLinkInfo.cpp	void CallLinkInfo::clearCallee()	1	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/bytecode/CallLinkInfo.cpp	void CallLinkInfo::clearStub()	1	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/bytecode/CallLinkInfo.cpp	void CallLinkInfo::emitFastPathImpl(CallLinkInfo* callLinkInfo, CCallHelpers& jit, bool isTailCall, ScopedLambda<void()>&& prepareForTailCall)	5	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/bytecode/CallLinkInfo.cpp	void CallLinkInfo::reconcileWeakReferencesAtGCEnd(VM& vm)	8	other				
Source/JavaScriptCore/bytecode/CallLinkInfo.cpp	void CallLinkInfo::reset(VM& vm)	2	other				
Source/JavaScriptCore/bytecode/CallLinkInfo.cpp	void CallLinkInfo::revertCallToStub()	1	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/bytecode/CallLinkInfo.cpp	void CallLinkInfo::setLastSeenCallee(VM& vm, const JSCell* owner, JSObject* callee)	1	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/bytecode/CallLinkInfo.cpp	void CallLinkInfo::setMonomorphicCallee(VM& vm, JSCell* owner, JSObject* callee, CodeBlock* codeBlock, CodePtr<JSEntryPtrTag> codePtr)	3	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/bytecode/CallLinkInfo.cpp	void CallLinkInfo::setStub(VM& vm, Ref<PolymorphicCallStubRoutine>&& newStub)	4	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/bytecode/CallLinkInfo.cpp	void CallLinkInfo::setVirtualCall(VM& vm)	5	lock,gate-test				
Source/JavaScriptCore/bytecode/CallLinkInfo.cpp	void CallLinkInfo::unlinkOrUpgradeImpl(VM& vm, CodeBlock* oldCodeBlock, CodeBlock* newCodeBlock)	3	lock,gate-test				
Source/JavaScriptCore/bytecode/CallLinkInfo.cpp	void DataOnlyCallLinkInfo::initialize(VM& vm, CodeBlock* owner, CallType callType, CodeOrigin codeOrigin)	3	debug-assert,relaxed-atomic				
Source/JavaScriptCore/bytecode/CallLinkInfo.cpp	void DataOnlyCallLinkInfo::initializeAsSharedByTailCallSites()	1	relaxed-atomic				
Source/JavaScriptCore/bytecode/CallLinkInfo.cpp	void DataOnlyCallLinkInfo::initializeAsSharedByUnlinkedCallSites(CodePtr<JSEntryPtrTag> unlinkedCallThunk, bool executedOnce)	1	relaxed-atomic				
Source/JavaScriptCore/bytecode/CallLinkInfo.cpp	void DirectCallLinkInfo::initialize()	1	fail-stop,gate-test				
Source/JavaScriptCore/bytecode/CallLinkInfo.cpp	void DirectCallLinkInfo::publishRecord(VM& vm, CodePtr<JSEntryPtrTag> target, CodeBlock* codeBlockToTransfer)	1	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/bytecode/CallLinkInfo.cpp	void DirectCallLinkInfo::repatchSpeculatively()	4	fail-stop,gate-test				
Source/JavaScriptCore/bytecode/CallLinkInfo.cpp	void DirectCallLinkInfo::setCallTarget(VM& vm, CodeBlock* codeBlock, CodeLocationLabel<JSEntryPtrTag> target)	2	fail-stop,gate-test				
Source/JavaScriptCore/bytecode/CallLinkInfo.cpp	void DirectCallLinkInfo::unlinkOrUpgradeImpl(VM& vm, CodeBlock* oldCodeBlock, CodeBlock* newCodeBlock)	4	lock,gate-test				
Source/JavaScriptCore/bytecode/CallLinkInfo.cpp	void DirectCallLinkInfo::validateSpeculativeRepatchOnMainThread(VM& vm)	2	other				
Source/JavaScriptCore/bytecode/CallLinkInfo.cpp	void LazyCallLinkInfo::setExecutedOnce(VM& vm)	4	locked-rmw,relaxed-atomic,gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/bytecode/CallLinkInfo.cpp	void LazyCallLinkInfo::setNeverExecuted(VM& vm)	1	relaxed-atomic				
Source/JavaScriptCore/bytecode/CallLinkInfo.cpp	void LazyCallLinkInfo::setTailCallNotExecuted(VM& vm)	1	relaxed-atomic				
Source/JavaScriptCore/bytecode/CallLinkInfo.cpp	void OptimizingCallLinkInfo::initializeFromDFGUnlinkedCallLinkInfo(VM&, const DFG::UnlinkedCallLinkInfo& unlinkedCallLinkInfo, CodeBlock* owner)	2	relaxed-atomic				
Source/JavaScriptCore/bytecode/CallLinkInfo.h	CallMode callMode() const	2	other				
Source/JavaScriptCore/bytecode/CallLinkInfo.h	CallType callType() const	2	other				
Source/JavaScriptCore/bytecode/CallLinkInfo.h	CodeSpecializationKind specializationKind() const	2	other				
Source/JavaScriptCore/bytecode/CallLinkInfo.h	PolymorphicCallStubRoutine* stub() const	1	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/bytecode/CallLinkInfo.h	bool clearedByGC()	1	relaxed-atomic				
Source/JavaScriptCore/bytecode/CallLinkInfo.h	bool clearedByVirtual()	1	relaxed-atomic				
Source/JavaScriptCore/bytecode/CallLinkInfo.h	bool hasExecutedOnce() const	1	relaxed-atomic				
Source/JavaScriptCore/bytecode/CallLinkInfo.h	bool hasSeenClosure()	1	relaxed-atomic				
Source/JavaScriptCore/bytecode/CallLinkInfo.h	bool isVarargs() const	1	other				
Source/JavaScriptCore/bytecode/CallLinkInfo.h	bool seenOnce()	1	relaxed-atomic				
Source/JavaScriptCore/bytecode/CallLinkInfo.h	inline JSCell* CallLinkInfo::ownerForSlowPath(CallFrame* calleeFrame)	3	other				
Source/JavaScriptCore/bytecode/CallLinkInfo.h	private: CallSiteData* ownData() const	1	other				
Source/JavaScriptCore/bytecode/CallLinkInfo.h	protected: CallLinkInfo(Type type, JSCell* owner, CodeOrigin codeOrigin) : CallLinkInfoBase(CallSiteType::CallLinkInfo) , m_codeOrigin(codeOrigin)	2	relaxed-atomic				
Source/JavaScriptCore/bytecode/CallLinkInfo.h	public: DirectCallLinkInfo(CodeOrigin codeOrigin, UseDataIC useDataIC, JSCell* owner, ExecutableBase* executable) : CallLinkInfoBase(CallSiteType::DirectCall) ,	4	fail-stop,relaxed-atomic,gate-test				
Source/JavaScriptCore/bytecode/CallLinkInfo.h	template<typename Functor> void forEachDependentCell(const Functor& functor) const	8	other				
Source/JavaScriptCore/bytecode/CallLinkInfo.h	uint32_t maxArgumentCountIncludingThisForVarargs()	1	relaxed-atomic				
Source/JavaScriptCore/bytecode/CallLinkInfo.h	void clearSeen()	1	main-form-helper	restored	a helper whose flag-off form is main's instruction sequence (plain access, unlocked, or a relaxed load and store)	tool	
Source/JavaScriptCore/bytecode/CallLinkInfo.h	void setCallType(CallType callType)	4	relaxed-atomic				
Source/JavaScriptCore/bytecode/CallLinkInfo.h	void setClearedByVirtual()	1	main-form-helper	restored	a helper whose flag-off form is main's instruction sequence (plain access, unlocked, or a relaxed load and store)	tool	
Source/JavaScriptCore/bytecode/CallLinkInfo.h	void setHasSeenClosure()	1	main-form-helper	restored	a helper whose flag-off form is main's instruction sequence (plain access, unlocked, or a relaxed load and store)	tool	
Source/JavaScriptCore/bytecode/CallLinkInfo.h	void setSeen()	1	main-form-helper	restored	a helper whose flag-off form is main's instruction sequence (plain access, unlocked, or a relaxed load and store)	tool	
Source/JavaScriptCore/bytecode/CallLinkInfo.h	void setUpCall(CallType callType)	1	other				
Source/JavaScriptCore/bytecode/CallLinkInfo.h	void updateMaxArgumentCountIncludingThisForVarargs(unsigned argumentCountIncludingThisForVarargs)	2	relaxed-atomic				
Source/JavaScriptCore/bytecode/CallLinkInfo.h	~DirectCallLinkInfo()	2	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/bytecode/CallLinkInfoBase.h	~CallLinkInfoBase()	1	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/bytecode/CodeBlock.cpp	CodeBlock::CodeBlock(VM& vm, Structure* structure, CopyParsedBlockTag, CodeBlock& other) : JSCell(vm, structure) , m_globalObject(other.m_globalObject) , m_shou	2	debug-assert,relaxed-atomic,gate-test				
Source/JavaScriptCore/bytecode/CodeBlock.cpp	CodeBlock::CodeBlock(VM& vm, Structure* structure, ScriptExecutable* ownerExecutable, UnlinkedCodeBlock* unlinkedCodeBlock, JSScope* scope) : JSCell(vm, structu	1	other				
Source/JavaScriptCore/bytecode/CodeBlock.cpp	CodeBlock::~CodeBlock()	2	main-form-helper	restored	a helper whose flag-off form is main's instruction sequence (plain access, unlocked, or a relaxed load and store)	tool	
Source/JavaScriptCore/bytecode/CodeBlock.cpp	CodePtr<JSEntryPtrTag> CodeBlock::addressForCallConcurrently(const ConcurrentJSLocker&, ArityCheckMode arityCheck) const	3	other				
Source/JavaScriptCore/bytecode/CodeBlock.cpp	FunctionExecutable* CodeBlock::materializeFunctionExecutable(WriteBarrier<FunctionExecutable>& slot, UnlinkedFunctionExecutable* unlinkedExecutable)	3	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/bytecode/CodeBlock.cpp	ValueProfileAndVirtualRegisterBuffer* CodeBlock::ensureCatchLivenessIsComputedForBytecodeIndex(BytecodeIndex bytecodeIndex)	5	relaxed-atomic				
Source/JavaScriptCore/bytecode/CodeBlock.cpp	ValueProfileAndVirtualRegisterBuffer* CodeBlock::ensureCatchLivenessIsComputedForBytecodeIndexSlow(const OpCatch& op, BytecodeIndex bytecodeIndex)	2	relaxed-atomic,gate-test				
Source/JavaScriptCore/bytecode/CodeBlock.cpp	bool CodeBlock::agesByMutatorQuietness()	1	other				
Source/JavaScriptCore/bytecode/CodeBlock.cpp	bool CodeBlock::ensureCatchLivenessIsComputedForExecutedCatchesSlow()	2	relaxed-atomic				
Source/JavaScriptCore/bytecode/CodeBlock.cpp	bool CodeBlock::finishCreation(VM& vm, ScriptExecutable* ownerExecutable, UnlinkedCodeBlock* unlinkedCodeBlock, JSScope* scope)	7	relaxed-atomic,gate-test				
Source/JavaScriptCore/bytecode/CodeBlock.cpp	bool CodeBlock::shouldOptimizeNowFromBaseline()	5	debug-assert	debug-assert	assertion only: no release-build code	tool	
Source/JavaScriptCore/bytecode/CodeBlock.cpp	size_t CodeBlock::estimatedSize(JSCell* cell, VM& vm)	1	other				
Source/JavaScriptCore/bytecode/CodeBlock.cpp	template<CodeBlock::QuickTierUpCheck check> void CodeBlock::optimizeAfterWarmUpImpl()	1	other				
Source/JavaScriptCore/bytecode/CodeBlock.cpp	template<typename Visitor> void CodeBlock::propagateTransitions(const ConcurrentJSLocker&, Visitor& visitor)	2	other				
Source/JavaScriptCore/bytecode/CodeBlock.cpp	template<typename Visitor> void CodeBlock::visitChildren(Visitor& visitor)	2	other				
Source/JavaScriptCore/bytecode/CodeBlock.cpp	uint32_t CodeBlock::exitCountThresholdForReoptimization()	1	other				
Source/JavaScriptCore/bytecode/CodeBlock.cpp	uint32_t CodeBlock::exitCountThresholdForReoptimizationFromLoop()	1	other				
Source/JavaScriptCore/bytecode/CodeBlock.cpp	unsigned CodeBlock::numberOfDFGCompiles()	3	relaxed-atomic				
Source/JavaScriptCore/bytecode/CodeBlock.cpp	unsigned CodeBlock::reoptimizationRetryCounter() const	3	debug-assert,relaxed-atomic				
Source/JavaScriptCore/bytecode/CodeBlock.cpp	void CodeBlock::countReoptimization()	3	relaxed-atomic				
Source/JavaScriptCore/bytecode/CodeBlock.cpp	void CodeBlock::dumpAssumingJITType(PrintStream& out, JITType jitType) const	3	other				
Source/JavaScriptCore/bytecode/CodeBlock.cpp	void CodeBlock::ensureFunctionExecutablesMaterialized()	2	debug-assert,relaxed-atomic,gate-test				
Source/JavaScriptCore/bytecode/CodeBlock.cpp	void CodeBlock::jettison(Profiler::JettisonReason reason, ReoptimizationMode mode, const FireDetail* detail)	24	fail-stop,lock,gate-test				
Source/JavaScriptCore/bytecode/CodeBlock.cpp	void CodeBlock::linkIncomingCall(JSCell* caller, CallLinkInfoBase* incoming)	1	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/bytecode/CodeBlock.cpp	void CodeBlock::prepareLazyStateForConcurrentCompilationSlow()	1	relaxed-atomic				
Source/JavaScriptCore/bytecode/CodeBlock.cpp	void CodeBlock::reconcileLLIntInlineCachesAtGCEnd()	3	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/bytecode/CodeBlock.cpp	void CodeBlock::reconcileWeakReferencesAtGCEnd(VM& vm, CollectionScope)	4	other				
Source/JavaScriptCore/bytecode/CodeBlock.cpp	void CodeBlock::removeExceptionHandlerForCallSite(DisposableCallSiteIndex callSiteIndex)	2	lock,gate-test				
Source/JavaScriptCore/bytecode/CodeBlock.cpp	void CodeBlock::setBaselineJITData(std::unique_ptr<BaselineJITData>&& jitData)	1	relaxed-atomic				
Source/JavaScriptCore/bytecode/CodeBlock.cpp	void CodeBlock::setOptimizationThresholdBasedOnCompilationResult(CompilationResult result)	2	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/bytecode/CodeBlock.cpp	void CodeBlock::setupWithUnlinkedBaselineCode(Ref<BaselineJITCode> jitCode)	20	fence,relaxed-atomic				
Source/JavaScriptCore/bytecode/CodeBlock.cpp	void CodeBlock::unlinkOrUpgradeIncomingCalls(VM& vm, CodeBlock* newCodeBlock)	1	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/bytecode/CodeBlock.cpp	void CodeBlock::updateAllNonLazyValueProfilePredictionsAndCountLiveness(unsigned& numberOfLiveNonArgumentValueProfiles, unsigned& numberOfSamplesInProfiles, Val	2	relaxed-atomic				
Source/JavaScriptCore/bytecode/CodeBlock.h	(no enclosing function found)	6	relaxed-atomic				
Source/JavaScriptCore/bytecode/CodeBlock.h	BaselineJITData* baselineJITData()	1	relaxed-atomic				
Source/JavaScriptCore/bytecode/CodeBlock.h	DFG::JITData* dfgJITData()	1	relaxed-atomic				
Source/JavaScriptCore/bytecode/CodeBlock.h	FunctionExecutable* functionDecl(unsigned index)	1	other				
Source/JavaScriptCore/bytecode/CodeBlock.h	FunctionExecutable* functionExpr(unsigned index)	1	other				
Source/JavaScriptCore/bytecode/CodeBlock.h	bool ensureCatchLivenessIsComputedForExecutedCatches()	1	other				
Source/JavaScriptCore/bytecode/CodeBlock.h	bool isLazyStatePreparedForConcurrentCompilation() const	1	relaxed-atomic				
Source/JavaScriptCore/bytecode/CodeBlock.h	void appendExceptionHandler(const HandlerInfo& handler)	2	lock,gate-test				
Source/JavaScriptCore/bytecode/CodeBlock.h	void createRareDataIfNecessary()	1	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/bytecode/CodeBlock.h	void prepareLazyStateForConcurrentCompilation()	1	relaxed-atomic				
Source/JavaScriptCore/bytecode/CodeBlock.h	void setDFGJITData(std::unique_ptr<DFG::JITData>&& jitData)	1	relaxed-atomic				
Source/JavaScriptCore/bytecode/DirectEvalCodeCache.cpp	void DirectEvalCodeCache::setSlow(JSGlobalObject* globalObject, JSCell* owner, const CacheLookupKey& cacheKey, DirectEvalExecutable* evalExecutable)	2	other				
Source/JavaScriptCore/bytecode/DirectEvalCodeCache.h	void set(JSGlobalObject* globalObject, JSCell* owner, const CacheLookupKey& cacheKey, DirectEvalExecutable* evalExecutable)	1	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/bytecode/DirectEvalCodeCacheInlines.h	inline DirectEvalExecutable* DirectEvalCodeCache::get(const CacheLookupKey& cacheKey)	1	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/bytecode/ExecutionCounter.cpp	template<CountingVariant countingVariant> bool ExecutionCounter<countingVariant>::hasCrossedThreshold(CodeBlock* codeBlock, double startupDeferralScale) const	5	relaxed-atomic				
Source/JavaScriptCore/bytecode/ExecutionCounter.cpp	template<CountingVariant countingVariant> bool ExecutionCounter<countingVariant>::setThreshold(CodeBlock* codeBlock, double startupDeferralScale)	7	relaxed-atomic				
Source/JavaScriptCore/bytecode/ExecutionCounter.cpp	template<CountingVariant countingVariant> void ExecutionCounter<countingVariant>::deferIndefinitely()	3	relaxed-atomic				
Source/JavaScriptCore/bytecode/ExecutionCounter.cpp	template<CountingVariant countingVariant> void ExecutionCounter<countingVariant>::dump(PrintStream& out) const	1	relaxed-atomic				
Source/JavaScriptCore/bytecode/ExecutionCounter.cpp	template<CountingVariant countingVariant> void ExecutionCounter<countingVariant>::forceSlowPathConcurrently()	1	relaxed-atomic				
Source/JavaScriptCore/bytecode/ExecutionCounter.cpp	template<CountingVariant countingVariant> void ExecutionCounter<countingVariant>::reset()	3	relaxed-atomic				
Source/JavaScriptCore/bytecode/ExecutionCounter.cpp	template<CountingVariant countingVariant> void ExecutionCounter<countingVariant>::setNewThreshold(int32_t threshold, CodeBlock* codeBlock)	1	relaxed-atomic				
Source/JavaScriptCore/bytecode/ExpressionInfo.cpp	WTF_IGNORES_THREAD_SAFETY_ANALYSIS auto ExpressionInfo::lineColumnForInstPC(InstPC instPC) -> LineColumn	5	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/bytecode/GetByIdMetadata.h	GetByIdModeMetadata()	1	relaxed-atomic				
Source/JavaScriptCore/bytecode/GetByIdMetadata.h	inline void GetByIdModeMetadata::clearToDefaultModeWithoutCache()	4	relaxed-atomic,gate-test				
Source/JavaScriptCore/bytecode/GetByIdMetadata.h	inline void GetByIdModeMetadata::setArrayLengthMode()	4	relaxed-atomic,gate-test				
Source/JavaScriptCore/bytecode/GetByIdMetadata.h	inline void GetByIdModeMetadata::setProtoLoadMode(Structure* structure, PropertyOffset offset, JSObject* cachedSlot)	2	debug-assert,relaxed-atomic,gate-test				
Source/JavaScriptCore/bytecode/GetByIdMetadata.h	inline void GetByIdModeMetadata::setUnsetMode(Structure* structure)	2	debug-assert,relaxed-atomic,gate-test				
Source/JavaScriptCore/bytecode/GetByStatus.cpp	GetByStatus GetByStatus::computeFromLLInt(CodeBlock* profiledBlock, BytecodeIndex bytecodeIndex)	18	relaxed-atomic				
Source/JavaScriptCore/bytecode/InlineCacheCompiler.cpp	AccessGenerationResult InlineCacheCompiler::compile(const GCSafeConcurrentJSLocker&, PolymorphicAccess& poly, CodeBlock* codeBlock)	1	other				
Source/JavaScriptCore/bytecode/InlineCacheCompiler.cpp	AccessGenerationResult InlineCacheCompiler::compileHandler(const GCSafeConcurrentJSLocker&, Vector<AccessCase*, 16>&& poly, CodeBlock* codeBlock, AccessCase& ac	8	other				
Source/JavaScriptCore/bytecode/InlineCacheCompiler.cpp	AccessGenerationResult InlineCacheCompiler::compileOneAccessCaseHandler(const Vector<AccessCase*, 16>& poly, CodeBlock* codeBlock, AccessCase& accessCase, Vecto	35	other				
Source/JavaScriptCore/bytecode/InlineCacheCompiler.cpp	DEFINE_CONSTANT_KEY_GETBYVAL_HANDLERS(Undefined, Undefined) DEFINE_CONSTANT_KEY_GETBYVAL_HANDLERS(Null, Null) DEFINE_CONSTANT_KEY_GETBYVAL_HANDLERS(True, True) 	1	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/bytecode/InlineCacheCompiler.cpp	MacroAssemblerCodeRef<JITThunkPtrTag> deleteByIdDeleteHandler()	1	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/bytecode/InlineCacheCompiler.cpp	MacroAssemblerCodeRef<JITThunkPtrTag> getByIdGetterHandler()	2	other				
Source/JavaScriptCore/bytecode/InlineCacheCompiler.cpp	MacroAssemblerCodeRef<JITThunkPtrTag> putByIdReplaceHandler()	2	other				
Source/JavaScriptCore/bytecode/InlineCacheCompiler.cpp	MacroAssemblerCodeRef<JITThunkPtrTag> setPrivateBrandHandler()	1	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/bytecode/InlineCacheCompiler.cpp	[[nodiscard]] static bool collectConditions(AccessCase& accessCase, Vector<ObjectPropertyCondition, 64>& watchedConditions, Vector<ObjectPropertyCondition, 64>&	3	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/bytecode/InlineCacheCompiler.cpp	bool InlineCacheCompiler::canEmitIntrinsicGetter(PropertyInlineCache& propertyCache, JSFunction* getter, Structure* structure)	2	gate-test	gate	an inserted gate test: one predicted-false byte test of a frozen Config or option byte flag off	tool	
Source/JavaScriptCore/bytecode/InlineCacheCompiler.cpp	static void getterHandlerImpl(CCallHelpers& jit, CCallHelpers::JumpList& fallThrough, GPRReg baseGPR, GPRReg resultGPR, GPRReg propertyCacheGPR, GPRReg scratch1	1	other				
Source/JavaScriptCore/bytecode/InlineCacheCompiler.cpp	template<bool allocating, bool reallocating, NonStringPrimitiveKeyType keyType> static MacroAssemblerCodeRef<JITThunkPtrTag> putByValNonStringPrimitiveKeyTransi	1	other				
Source/JavaScriptCore/bytecode/InlineCacheCompiler.cpp	template<bool allocating, bool reallocating, bool isSymbol> static MacroAssemblerCodeRef<JITThunkPtrTag> putByValTransitionHandlerImpl(VM& vm)	1	other				
